customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_policies,total_claim_amount
5880,83724,82,31,25,8,590
7912,89601,114,26,34,7,820
2684,98121,67,22,49,1,383
6811,95120,63,0,88,2,302
3819,99436,111,29,76,1,799
4863,46887,137,25,45,1,657
2744,16686,71,9,32,1,125
9378,51425,119,32,66,3,560
10614,16040,96,29,93,2,611
22806,10337,67,16,56,2,321
5719,54585,71,33,39,3,340
4064,26161,109,8,70,1,594
9587,84539,119,16,71,4,65
8053,17301,105,1,11,5,638
5012,20976,129,20,86,1,735
8906,58718,226,11,0,1,1084
2423,22319,63,3,41,1,302
8804,38638,74,5,84,2,355
2434,88776,66,30,34,1,167
7651,53330,65,8,57,2,224
5278,73742,68,10,60,3,27
8501,98833,136,20,98,6,979
10208,35482,129,21,59,3,619
4882,31150,66,18,66,6,475
8078,46573,114,1,39,5,547
10388,33432,90,28,43,2,161
7098,34193,70,18,99,2,349
2619,15587,71,11,48,1,136
8834,34133,111,0,72,7,226
11009,51643,283,16,43,1,1358
7158,36463,92,8,25,3,441
4915,22064,70,13,48,9,504
3690,59016,92,3,65,1,441
2471,53074,61,5,86,1,268
2507,97673,63,21,49,1,178
7025,24726,92,18,75,5,150
6062,29405,84,1,94,5,604
6560,88041,93,2,88,3,41
2822,49515,77,33,86,1,138
36946,75425,116,25,88,2,663
40688,37455,114,13,57,2,547
2896,33746,74,1,6,1,355
5304,44134,74,18,29,8,532
2867,91810,71,27,43,1,165
2580,46900,66,13,59,1,316
3979,96413,99,3,78,1,560
4623,96568,133,18,2,1,957
2242,63449,67,15,75,1,618
42389,82554,132,6,15,2,154
5692,86073,70,2,96,3,291
5528,36088,72,16,31,9,345
8146,92777,68,21,83,2,158
6785,12685,197,6,22,1,1439
7055,67776,108,25,82,4,777
15374,42570,128,5,52,2,587
6121,26787,77,7,50,5,369
8278,16924,226,23,69,1,1084
22563,23046,65,18,7,2,1
3109,77485,77,0,87,1,355
2805,50180,77,30,93,1,360
2433,23737,62,10,65,1,437
3969,49544,101,3,29,1,0
4882,19715,66,25,11,5,475
8503,87771,74,8,9,2,355
2685,20608,73,10,24,1,350
8641,78904,109,10,38,9,250
9460,24223,133,23,32,6,1443
4863,21324,70,5,35,5,646
10925,98542,90,1,93,2,432
9853,44006,130,18,26,4,494
5597,37995,139,16,50,1,667
3102,31841,78,27,11,1,126
2713,13054,74,35,77,1,299
2290,34522,64,30,85,1,482
7582,64801,64,23,19,2,268
8317,64367,104,2,14,9,96
8586,66587,83,22,13,2,483
9486,25322,126,23,52,3,886
3589,30944,92,15,46,1,348
2393,45161,70,24,10,1,425
8653,20588,113,6,86,7,586
5389,66429,136,35,93,1,57
3265,25820,82,10,69,1,393
5947,67760,74,19,19,3,465
13752,44591,131,31,49,2,628
9766,75651,81,23,60,2,375
21920,60180,183,14,70,2,988
4992,24368,68,34,54,3,326
2499,90132,72,15,47,1,345
4194,25581,105,9,21,1,429
17006,58620,71,11,51,2,340
7553,38008,68,12,40,2,321
4670,69921,118,28,22,1,373
24967,66825,69,11,47,2,70
6974,26514,91,31,58,3,655
12255,95828,177,0,6,7,1274
5714,22340,79,3,66,9,50
4760,46019,68,9,1,6,489
3677,32314,92,33,80,1,662
7955,90672,74,17,27,2,355
9501,46855,119,13,94,9,472
7247,23541,62,35,38,2,98
4528,70340,113,5,56,1,542
4762,23809,65,10,11,3,366
6503,22081,84,1,9,6,451
9028,65974,113,3,43,3,235
20940,86692,67,11,6,2,482
23536,33747,199,29,95,2,832
8838,82664,114,24,10,9,133
14455,85003,78,2,63,2,561
4162,12620,67,26,88,3,321
3309,85632,82,10,4,1,7
3478,29938,90,8,35,1,562
12786,94062,180,14,70,4,1296
7609,16233,197,17,68,1,1418
25082,19653,100,27,58,2,1000
7948,63892,66,2,80,2,90
8459,92717,70,24,19,2,224
13736,16181,181,22,79,8,1261
7423,13376,107,27,27,9,513
4644,89953,64,8,71,6,307
2372,19030,62,7,22,1,355
4887,70742,124,3,64,1,211
18196,57177,92,14,51,2,441
52811,52474,182,8,70,2,873
2675,55479,68,5,7,1,117
2322,50536,63,8,87,1,453
12731,40870,105,3,56,2,504
4515,21500,115,14,44,1,39
3588,18815,106,20,51,1,763
30286,27587,103,14,34,2,241
13736,16181,181,22,79,8,1261
4876,46579,66,15,56,3,316
10536,92983,87,9,77,2,153
9816,37256,62,15,7,2,128
4112,98157,71,16,90,9,569
4110,31842,108,7,31,1,406
6532,24919,84,21,2,5,420
7431,27688,92,8,86,9,572
4912,60828,66,23,38,4,668
11885,84294,105,18,20,2,756
6782,26116,85,6,58,3,612
5980,22946,76,18,72,8,377
9045,52572,113,30,22,3,441
4867,20123,63,7,47,3,302
9470,46530,80,12,46,2,118
2623,80210,65,30,28,1,20
15950,14401,87,10,55,2,46
2927,20852,73,8,6,1,383
7320,99722,61,6,48,2,292
2953,76474,74,4,79,1,355
2935,85205,82,11,35,1,590
8257,23815,73,4,47,2,424
13770,59207,116,23,21,2,556
14246,66171,207,13,68,6,1490
5678,17674,76,8,44,3,364
19231,99772,158,10,38,2,51
7296,21596,67,29,88,2,321
39365,99875,108,12,37,2,114
13352,83822,119,26,65,2,729
6847,32497,191,2,70,1,1317
4834,11698,65,4,38,3,468
10288,96337,127,19,12,3,609
2444,78419,66,27,51,1,316
2469,70867,71,10,20,1,484
4167,56901,104,29,82,1,499
2514,24744,65,1,0,1,312
5029,62271,63,30,52,3,25
6933,91101,70,19,66,2,504
5908,71401,73,15,82,3,287
9988,33157,124,28,58,3,286
10171,74243,84,34,2,2,71
8679,52717,109,5,60,8,60
4132,35397,63,4,55,3,453
2568,11167,73,0,99,1,350
8693,48893,110,9,26,3,787
29091,34226,244,29,22,2,494
5574,20075,71,0,28,3,371
16224,32184,136,14,91,2,266
3885,70441,105,3,92,1,504
16464,27760,104,13,71,2,302
7329,15892,108,26,94,4,518
10272,60145,132,8,28,3,580
7556,35257,98,16,2,8,470
2491,36631,62,30,77,1,67
7974,95095,109,5,64,4,523
13270,28727,113,29,42,2,350
4573,56498,127,22,53,1,914
2872,79681,73,4,93,1,9
6071,12201,84,14,63,4,604
6334,95870,63,1,21,2,302
12550,22234,160,0,92,3,768
9707,30430,86,6,77,2,425
16504,42148,104,4,29,2,366
5644,33137,74,16,8,4,472
17966,35605,70,15,44,2,504
7019,26806,63,32,19,2,302
15797,35754,199,21,54,3,612
9816,37256,62,0,7,2,128
5871,33967,76,0,60,8,364
14050,22335,73,8,71,2,350
3387,23156,88,9,6,1,422
3732,75774,92,30,55,1,441
5229,77357,67,24,38,8,29
4861,36305,61,19,61,9,292
3890,43578,98,5,46,1,105
5204,29406,68,25,79,6,326
2616,72302,66,6,27,1,316
29297,70886,115,22,65,2,1251
9388,75264,78,24,92,2,343
6382,21693,87,14,67,3,417
4436,77609,111,26,75,1,62
5934,87747,147,3,87,1,46
7796,32169,199,0,74,1,785
8375,17780,109,12,18,9,132
20216,74424,183,6,16,2,878
17349,68843,92,3,7,2,441
6361,46553,88,28,23,4,110
5838,81082,73,5,85,4,281
6259,37813,78,4,26,5,39
8382,19683,117,17,41,9,561
3728,83632,94,7,86,1,216
5148,51071,65,17,94,3,312
2491,25965,65,23,27,1,329
2396,39062,61,2,20,1,346
6672,56830,83,6,27,9,319
7341,27649,63,8,63,2,302
2913,89672,72,7,92,1,309
3460,14262,90,27,9,1,290
6838,15871,89,20,19,4,427
2719,14030,72,11,3,1,345
9028,65974,113,29,43,3,235
4708,47829,117,23,37,1,561
9338,36203,132,17,34,3,950
5638,70492,70,29,82,7,328
8183,24345,106,3,21,3,637
6239,60551,91,25,63,3,655
9476,58604,254,23,55,1,1828
2778,66030,69,33,19,1,282
2774,14022,74,4,30,1,355
8474,58488,73,29,15,2,350
4061,70129,103,24,57,1,130
6950,21687,88,10,68,8,603
9199,37399,116,30,22,3,392
3460,63575,100,15,96,1,720
4855,24149,61,15,10,3,292
22448,45252,78,7,63,2,561
5623,31504,71,8,27,3,340
2784,20814,72,16,57,1,288
7762,23827,106,18,77,3,37
3269,26140,84,23,37,1,403
4913,48295,63,25,96,8,290
2050,64255,61,18,26,1,292
4369,26026,116,1,76,1,283
2562,92038,65,4,44,1,178
22951,62396,64,13,18,2,307
2585,21603,68,11,46,1,326
11389,58187,95,18,39,2,76
4055,96303,121,2,18,1,1215
4004,42551,107,4,65,1,513
2883,37741,74,3,59,1,355
5746,50798,72,21,59,7,64
2578,34946,65,30,63,1,420
6290,15936,95,11,23,5,684
2162,38659,66,18,95,1,316
5346,10511,139,33,64,1,516
4118,69379,103,14,79,1,494
7980,15630,115,8,60,3,656
6846,37578,95,13,20,5,456
2616,22000,69,27,36,1,383
4996,99761,63,0,73,3,452
3939,60021,99,12,28,1,882
7757,11196,111,32,13,3,607
6974,26514,91,16,58,3,655
5473,93870,69,5,96,8,331
13023,64985,108,23,94,2,16
5762,66156,72,11,66,6,345
2489,47888,64,23,16,1,545
4048,92801,100,24,23,1,407
15262,80757,128,9,14,2,339
4170,42837,106,15,39,1,290
7434,49057,63,16,52,2,29
2694,26744,68,16,61,1,326
3337,60607,83,12,82,1,379
3963,38096,99,3,28,1,475
4660,64122,67,11,87,3,482
5230,32630,66,26,40,3,202
5654,90947,83,0,12,7,597
5073,57709,125,10,26,1,600
6950,21687,88,12,68,8,603
10058,95023,92,30,81,2,640
5015,48567,130,12,15,1,624
8193,54950,103,25,75,7,480
6269,47153,89,25,39,7,942
2557,13044,73,30,8,1,525
8207,35349,102,4,2,4,489
3038,75180,77,15,30,1,154
8062,42124,101,3,78,6,484
6358,20761,94,19,98,4,17
2810,26790,71,4,41,1,340
7098,37511,185,14,93,1,579
4558,11574,62,13,21,8,446
2659,11120,87,4,4,1,420
5507,49746,71,3,38,3,340
2903,22699,77,15,89,1,491
9602,74448,94,12,3,2,676
7590,52823,95,7,15,5,125
3788,35082,106,27,89,1,763
14590,46244,62,8,3,2,255
9031,71272,122,0,47,9,650
8278,28164,110,20,66,7,1002
14014,54193,117,2,83,2,720
3443,16208,93,19,20,1,446
5380,15848,74,19,41,8,59
14195,86355,118,27,86,2,285
11714,21102,100,0,81,2,480
3239,16061,88,26,23,1,633
3141,43499,80,8,44,1,529
11513,44114,64,24,72,2,307
12097,80964,107,18,79,2,271
5156,45545,73,5,72,7,807
6186,88375,77,23,11,3,0
7091,90251,68,13,52,2,489
2893,30406,73,29,93,1,350
2530,50577,63,2,8,1,12
2538,18608,71,13,24,1,340
4551,74310,62,25,98,3,446
7516,96764,106,7,39,6,850
2470,18661,62,13,74,1,196
2472,63860,62,26,81,1,208
4100,47761,104,16,58,1,541
2691,82108,67,17,63,1,52
30718,90607,109,1,48,2,243
11093,78255,95,14,88,2,456
7371,93263,68,2,70,2,425
10097,68997,63,3,26,2,206
41143,63624,115,10,40,2,306
10507,76549,132,3,5,3,616
9985,36268,86,2,22,2,531
4836,99013,136,8,2,1,979
25464,13663,97,1,66,2,465
2866,87428,72,27,42,1,224
5267,40818,66,6,3,6,316
6837,90750,170,30,47,1,746
8066,17950,71,16,62,2,340
4429,20868,112,14,11,1,537
7692,19760,105,1,37,4,504
4118,69379,103,14,79,1,494
14536,25805,66,25,0,2,375
8166,46653,82,34,5,2,590
4372,23124,112,27,59,1,537
2551,79452,65,33,75,1,187
4637,97017,115,33,60,1,534
6997,56940,87,11,10,9,512
2521,41247,64,17,6,1,307
5417,54898,69,25,32,9,176
7564,48381,63,2,71,2,302
2485,76608,62,2,2,1,91
8779,54726,219,30,69,1,1051
7083,97024,177,0,68,1,686
8632,96200,107,9,45,3,513
4023,41833,103,0,43,1,643
3954,18375,103,8,50,1,535
2555,22881,65,20,10,1,312
5845,43145,73,19,0,6,516
5971,52018,78,2,37,7,374
29328,32006,94,28,7,2,56
2442,86935,74,15,9,1,532
6898,70950,171,6,12,1,565
4061,30061,104,4,22,1,499
6383,67881,79,6,70,4,391
12350,54710,103,13,46,2,294
7166,59253,89,17,70,3,67
9061,73876,112,19,71,8,419
4874,92783,61,1,47,6,6
9259,17109,62,7,45,2,297
16525,24414,104,34,80,2,499
25002,21927,71,32,40,2,128
7069,63867,89,21,4,3,432
2320,19581,61,32,27,1,377
5391,63633,68,16,21,8,374
6852,51354,69,7,45,2,406
4270,84094,122,27,2,1,725
15610,65650,119,3,52,2,439
4931,10666,68,6,93,8,480
5110,22565,132,0,20,1,633
2545,71868,65,6,61,1,312
2753,80445,73,29,82,1,298
2961,22608,77,5,10,1,369
2254,79562,65,3,95,1,768
3336,19447,89,16,6,1,640
10861,64744,139,5,34,5,41
7957,51125,67,27,67,2,430
3653,57126,107,32,43,1,770
2514,23504,69,17,56,1,374
3579,84598,89,8,7,1,639
7776,63568,65,19,5,2,390
4170,90310,104,3,39,1,166
17367,66245,145,22,58,2,181
4706,30695,72,0,86,7,345
14191,25575,117,26,41,2,561
2396,60243,66,6,71,1,433
5285,85753,66,23,14,8,316
5555,74015,72,12,61,6,471
9118,56446,114,2,8,3,547
7485,26380,96,29,70,4,177
7649,52705,64,14,8,2,128
11926,50234,101,12,1,2,484
2938,68018,80,2,49,1,384
2487,28738,62,2,95,1,81
5227,93087,131,14,25,1,628
6903,15921,92,9,12,4,571
4929,75644,70,25,21,6,837
9713,88940,136,7,34,3,979
8501,98003,107,4,46,7,449
4523,74935,112,15,62,1,192
14616,25358,126,1,13,2,750
4446,66056,61,32,42,3,616
6464,66030,89,33,98,3,640
2168,39881,63,1,56,1,453
12519,34179,107,15,26,2,770
4416,61953,113,5,63,1,497
7343,52885,68,16,57,2,479
10481,39102,88,11,98,2,152
4570,27538,63,10,6,3,285
6966,27972,90,13,7,8,240
5310,73102,66,35,46,4,117
9268,57052,115,7,56,4,483
2542,37072,64,1,1,1,307
4807,92003,69,4,69,9,496
4050,82758,101,16,37,1,179
4617,16764,61,13,79,7,292
10208,35482,129,10,59,3,619
5904,89953,74,3,42,3,274
5808,43282,72,3,3,3,166
7275,27984,62,7,51,2,445
6265,20698,84,18,25,4,481
26730,21275,240,3,58,2,1152
7123,21835,92,2,83,3,621
4121,29727,67,7,8,3,482
2746,91417,84,25,44,1,604
8595,34621,108,21,32,8,621
7426,19634,98,29,89,6,470
8658,62464,109,23,45,4,400
2794,39783,72,28,43,1,345
4835,19032,71,11,71,6,511
4386,10621,67,28,22,5,321
9002,61374,113,5,27,3,210
8365,27042,110,17,3,7,1263
31234,70164,88,34,3,2,375
5088,49111,71,31,52,4,511
7550,69208,100,20,48,6,480
14158,83235,70,16,33,2,336
3226,19948,89,18,84,1,427
21504,60228,112,23,28,2,286
2715,20848,71,9,76,1,350
7408,62810,187,14,22,1,32
5243,36615,65,14,7,5,264
4100,51193,104,31,21,1,97
10963,55687,276,33,91,1,1324
3157,46655,82,27,20,1,336
7281,47482,93,19,45,3,594
3135,55855,79,10,71,1,272
2357,16468,65,5,59,1,294
8966,41829,76,12,41,2,416
4209,26435,111,32,50,1,1012
4686,58089,118,31,83,1,566
10213,39719,131,1,57,3,628
4448,23006,113,17,60,1,792
7651,53330,65,8,57,2,224
2581,35795,65,25,53,1,312
7465,96522,109,4,33,8,784
2570,49304,65,28,48,1,312
14635,97621,139,5,56,2,667
2429,74241,61,21,57,1,138
9688,24584,66,11,74,2,279
10677,45732,134,22,56,9,611
7035,55723,101,16,88,8,727
5139,73180,64,27,43,3,132
2925,30752,73,2,37,1,400
7507,60920,64,10,61,2,231
3056,34317,78,6,32,1,263
5384,82045,78,14,68,5,748
5963,94115,74,28,41,8,409
8828,86721,111,33,10,3,532
5517,60596,71,20,78,3,180
5945,65602,73,11,14,3,61
8564,95697,107,29,29,9,178
58207,29295,219,25,50,2,1328
14862,79039,82,5,16,2,393
2630,80129,66,6,70,1,165
2361,75976,66,17,92,1,145
8717,83846,74,22,94,2,355
7446,98235,93,21,68,8,377
2493,37043,68,25,89,1,30
13270,28727,113,7,42,2,350
2243,12474,62,26,18,1,446
5897,29227,74,0,83,7,421
7180,80632,104,30,96,3,1210
5210,89781,66,7,89,5,37
7942,12181,108,10,19,4,591
3903,60068,98,17,75,1,470
2945,36167,76,9,79,1,364
5325,61824,73,17,44,7,496
9352,75436,78,10,20,2,9
51337,72794,164,3,47,2,50
6729,77445,103,13,20,9,741
4682,37929,61,21,35,5,120
7635,30262,98,0,96,9,499
4035,55407,101,30,68,1,275
3339,68382,94,20,53,1,863
14476,27572,124,11,57,2,595
21504,60228,112,23,28,2,286
5283,80928,132,26,27,1,538
2248,24910,63,7,63,1,347
4076,29549,104,17,51,1,710
6385,60211,63,13,35,2,302
3401,41972,86,20,23,1,691
32864,90783,104,0,38,2,285
12045,55805,99,16,30,2,425
5482,79325,68,4,31,4,251
9388,33599,80,23,31,2,111
5995,28804,78,6,84,3,76
4650,28215,65,15,26,3,468
14024,81872,115,10,55,2,256
21295,30445,96,15,73,2,677
5505,95766,68,17,62,5,162
2993,17705,80,28,97,1,286
2511,17658,65,10,44,1,312
3842,97832,95,5,98,1,107
8012,36937,79,22,82,2,335
8216,63766,117,3,33,9,983
2430,26182,70,29,30,1,341
3352,55359,83,28,73,1,303
10208,35482,129,21,59,3,619
8099,60932,101,7,35,3,484
2719,14030,72,11,3,1,345
5382,77552,68,33,76,7,45
2567,61900,64,11,64,1,307
8016,82828,67,14,36,2,217
2467,19352,65,16,0,1,724
5860,36889,74,24,82,3,192
6925,88893,86,5,63,9,72
14472,22012,185,5,69,5,75
4037,90760,103,5,7,1,133
7531,11792,71,10,44,2,511
4878,43358,61,2,83,6,400
11314,62935,141,29,27,7,232
2320,10953,63,18,76,1,453
4626,79487,114,20,87,1,547
7250,57957,69,17,10,2,496
8110,11489,105,4,50,6,504
7053,52982,89,8,54,3,31
2574,34990,65,23,73,1,42
4334,23904,123,1,67,1,590
3196,62815,80,14,84,1,47
15118,58883,62,1,47,2,432
5444,91393,67,19,54,6,460
8188,45318,103,17,27,8,494
2594,30064,65,20,23,1,296
4814,35307,67,34,4,4,482
5002,29478,70,35,56,3,504
9621,54872,121,9,50,3,580
2132,34682,61,0,62,1,691
3839,18944,112,3,51,1,537
3313,40348,83,6,56,1,26
18321,76726,65,27,26,2,10
6627,90751,82,2,22,8,315
4957,23806,67,3,69,7,321
4916,21907,62,6,47,3,2
2443,15542,69,2,55,1,124
3766,22439,98,30,63,1,470
2702,22415,69,0,79,1,352
10168,35504,128,4,86,3,404
5181,97131,64,5,80,6,307
5678,17784,76,8,44,3,364
10552,47761,131,2,54,6,232
5337,88419,86,19,93,5,619
9369,99185,115,8,19,3,449
4854,29834,64,19,44,3,307
3890,91182,96,8,90,1,249
12919,58236,108,22,92,2,67
9024,71499,112,25,61,5,537
5325,62470,66,34,84,4,243
14642,57561,62,18,57,2,298
2446,29152,67,24,72,1,255
3621,13457,94,31,28,1,285
3815,23540,103,30,23,1,494
15739,48096,131,10,3,2,450
2410,19297,67,5,53,1,482
29006,40252,104,12,60,2,499
2858,40706,71,30,96,1,166
7285,44788,61,6,48,2,386
4318,81650,68,7,53,3,230
9671,17103,87,24,29,2,417
2912,81097,74,7,67,1,355
6243,73945,78,21,76,8,330
5715,69451,72,10,93,5,230
10208,35482,129,21,59,3,619
20498,56070,74,5,73,2,87
4705,91631,78,21,23,3,555
6947,21495,99,12,77,4,475
27386,56600,105,0,47,2,451
8002,93384,107,3,65,3,513
9246,40032,118,1,50,7,717
5146,93752,64,34,24,3,154
4260,22802,62,1,73,3,446
30859,69872,111,35,10,2,218
5209,37940,129,11,36,1,512
7890,43478,112,15,29,7,747
3123,30546,101,1,83,1,960
4518,19186,62,10,34,5,297
2962,16495,85,25,75,1,408
9801,82888,91,33,38,2,436
13197,64027,68,3,2,2,326
21312,70734,175,4,35,2,1200
11077,78011,138,14,42,3,619
2346,22932,62,2,97,1,297
5786,44784,73,32,35,4,395
2530,25143,66,34,38,1,8
5329,99839,66,11,12,3,468
2450,89722,73,4,44,1,554
27929,88105,86,5,26,2,412
5173,59040,69,30,69,9,331
8208,40646,103,22,6,8,494
4766,29177,64,15,20,5,307
9320,18643,119,34,41,5,571
10307,78358,128,6,75,3,614
8277,79780,68,11,58,2,326
6369,34498,83,30,72,7,398
9368,44980,81,2,27,2,333
2810,73858,72,8,59,1,422
3873,28142,105,18,50,1,701
4718,15680,64,16,29,8,260
15190,49629,71,4,64,2,839
5272,60260,66,14,84,3,328
2682,24823,69,23,66,1,229
2219,96607,62,0,83,1,297
2345,26304,63,22,93,1,302
6674,63736,98,7,24,9,931
2810,20371,71,19,14,1,340
7998,29066,100,8,51,3,844
2127,93115,61,11,6,1,31
4035,21359,101,25,5,1,484
4815,59438,124,33,55,1,562
4940,65985,71,3,47,4,42
4362,58842,110,6,74,1,528
2675,67837,69,19,17,1,430
8388,87123,69,13,87,2,118
9244,12081,82,18,18,2,548
6904,75358,98,26,31,4,1032
13727,67780,126,12,4,2,604
8229,64216,109,5,63,3,298
3530,52515,108,7,55,1,777
6459,24290,82,15,84,8,393
5232,41596,66,12,12,5,316
2549,31213,65,0,29,1,312
3609,58297,97,19,94,1,647
5955,83534,83,35,87,8,628
9806,18520,87,15,26,2,626
13569,20978,70,35,20,2,336
5773,52278,73,31,91,3,234
2409,54491,66,3,97,1,316
12280,88340,102,16,1,2,489
6701,56398,85,4,18,7,408
6762,40372,85,15,17,4,76
9657,79488,131,34,61,9,628
20492,27317,102,30,12,2,489
6045,82399,77,18,15,9,31
14703,48295,71,16,30,2,819
21101,61347,106,27,66,2,604
3758,58300,94,25,55,1,24
6943,53151,76,4,43,2,547
4254,11904,61,34,11,3,292
18708,98433,77,10,36,2,554
8048,50863,116,24,90,9,1339
8715,33838,84,33,20,2,604
8007,27972,112,12,93,3,537
35013,41988,133,1,85,2,532
8869,81214,119,12,57,4,571
27890,46546,99,9,64,2,319
4836,16450,128,6,81,1,871
4433,91058,65,7,22,6,312
10114,74001,84,16,0,2,224
10517,46707,133,7,9,8,80
10255,64893,102,17,77,2,734
11618,27750,297,28,25,1,1425
2580,46900,66,13,59,1,316
31316,42522,132,3,85,2,909
23187,58466,66,7,79,2,316
9416,75664,86,9,83,2,412
2517,29084,69,2,71,1,42
5252,76609,74,21,62,3,532
25464,13663,97,1,66,2,465
3895,35970,98,29,81,1,470
3560,76769,88,6,91,1,170
2248,24910,63,7,63,1,347
5600,63621,70,8,48,5,444
7857,85067,65,34,51,2,256
8828,86721,111,33,10,3,532
5166,80797,64,21,47,9,300
3034,17308,82,10,86,1,874
7720,67332,192,11,10,1,921
8649,43383,109,7,60,8,757
5090,93018,63,5,90,3,135
4250,63687,61,17,1,7,292
8435,64692,70,17,80,2,336
24127,14072,71,13,3,2,511
5511,36267,69,21,1,8,263
6751,66590,95,14,78,9,456
3508,20978,98,19,96,1,1176
9657,19326,131,34,61,9,628
5141,60277,65,32,19,7,146
12298,17101,113,1,88,2,542
6290,34618,95,11,23,5,684
8605,47589,109,35,44,7,110
8382,19683,117,17,41,9,561
2608,61567,65,35,78,1,39
19927,51352,66,21,87,2,95
2860,27907,74,3,38,1,406
8491,62076,71,25,82,2,227
6866,81463,64,18,59,2,40
22337,34426,130,9,43,2,1376
9392,94124,88,4,52,2,851
3173,67429,101,34,52,1,484
4013,15413,106,4,67,1,508
5996,92827,83,5,59,9,398
4389,26676,112,7,96,1,537
8033,70311,66,18,15,2,341
7511,49165,70,9,96,2,340
8061,57293,102,24,87,7,347
14131,28327,185,22,26,3,888
5385,29664,71,1,69,3,340
2227,27972,61,7,38,1,292
2199,59695,64,21,5,1,685
11660,21506,151,11,42,4,826
3910,58713,98,8,4,1,470
2305,92380,63,33,34,1,327
4361,79583,109,12,76,1,523
3237,60097,82,11,62,1,278
5181,97131,64,5,80,6,307
6480,42846,81,14,42,4,286
2700,79292,67,18,58,1,55
35692,41414,102,10,90,2,1123
2357,96280,64,25,80,1,199
2590,25981,65,33,38,1,77
2897,54337,72,27,7,1,345
13891,42305,117,10,62,2,561
6608,21616,93,4,41,7,944
3074,51809,104,25,33,1,748
6207,49419,77,3,34,4,203
9877,67752,131,4,40,9,168
8415,57054,62,8,98,2,446
5409,98286,62,1,9,2,297
37243,53602,115,15,60,2,295
4483,32983,113,25,59,1,466
8470,52386,113,34,5,8,619
18544,34087,235,12,49,6,889
2444,48473,63,1,73,1,302
8487,16560,74,7,93,2,426
2129,92682,61,13,81,1,292
3808,94903,94,3,38,1,451
8207,40420,104,2,10,7,499
3985,77739,98,31,61,1,428
6837,90750,170,30,47,1,746
16484,91354,68,30,26,2,361
3011,39010,78,27,99,1,374
6745,47175,192,15,27,1,1921
10479,78435,130,11,19,4,553
18704,64929,240,13,11,8,1261
4558,14665,61,6,82,3,292
11836,41484,119,9,74,2,856
3300,52618,92,3,9,1,711
4821,72406,136,28,87,1,652
7222,79060,68,5,36,2,350
2275,56008,64,23,66,1,460
9868,96575,99,25,23,2,712
8769,49665,74,5,51,2,355
8936,18141,116,2,87,3,722
2613,57099,67,20,37,1,67
4834,38713,66,31,69,6,316
8355,49564,105,34,29,5,661
5040,46072,64,0,61,4,25
4564,12626,69,31,15,3,331
21892,58149,61,5,90,2,292
5288,42621,66,8,3,3,316
4315,89797,106,19,8,1,70
6611,22361,95,15,37,3,564
4170,29462,107,22,23,1,513
32098,31503,105,17,74,2,504
3410,59662,85,6,76,1,10
3095,53588,77,10,71,1,369
3788,48887,95,26,25,1,456
7803,84417,98,5,32,7,139
13372,16729,74,18,58,2,811
5375,69050,67,17,38,3,334
9654,67772,82,29,27,2,502
5595,74454,71,25,29,3,340
2395,21986,63,1,9,1,333
2287,69024,61,27,32,1,238
2272,16618,62,0,40,1,219
2552,35149,64,26,33,1,120
9095,37937,116,11,42,5,556
2269,80459,68,22,43,1,542
34243,51255,122,12,0,2,421
2831,17752,77,26,87,1,369
4897,30503,63,32,57,5,257
2584,60942,64,11,56,1,288
8482,29628,106,29,45,9,763
7880,23129,70,10,74,2,491
16887,53262,62,11,18,2,223
2444,64551,71,8,59,1,244
2312,16143,62,3,73,1,32
2866,26924,73,12,80,1,262
11836,46253,119,33,74,2,856
2435,43721,61,5,84,1,292
7271,20545,70,23,86,2,336
16045,89122,65,10,10,2,163
5598,14174,72,1,62,8,345
5163,35577,130,1,6,1,574
7919,82877,99,8,89,3,22
12208,21331,103,18,84,2,419
2649,36283,68,14,63,1,291
4656,34257,128,17,37,1,1548
6159,97658,76,7,82,3,364
4395,28719,110,0,17,1,792
10633,80046,132,21,42,4,260
5396,40308,136,4,69,1,652
10517,46707,133,7,9,8,80
7611,90252,95,1,77,7,122
9050,63800,113,9,43,4,542
13037,28582,112,27,24,2,537
9935,34831,124,4,34,3,595
6259,46747,83,8,78,4,254
3903,42864,104,25,87,1,499
3980,92539,101,9,61,1,707
9775,55632,123,35,98,7,478
5678,14035,76,8,44,3,364
13448,43720,117,5,90,2,561
4424,37800,112,0,77,1,662
6274,72364,67,23,39,2,431
21914,77311,181,18,36,2,113
21235,23876,86,29,45,2,568
4962,23300,63,3,35,4,339
2747,52266,80,12,14,1,576
8349,45428,109,2,46,3,487
16798,55269,71,32,15,2,340
4778,78985,73,15,17,9,350
4686,32646,119,25,84,1,464
7462,70263,93,30,66,5,7
4895,54495,61,7,3,8,182
22620,49564,193,22,82,2,286
4770,12964,65,2,37,4,362
2311,24400,62,13,25,1,297
2434,96045,61,24,35,1,8
6111,22944,80,26,83,5,488
7249,37751,93,15,42,3,56
8663,93485,72,31,40,2,127
4715,50050,65,19,56,3,308
5638,74286,70,27,0,3,277
16922,93836,139,1,19,2,497
2540,37125,63,29,78,1,290
7119,28227,62,14,24,2,551
2897,38301,85,4,45,1,612
3636,25407,98,2,88,1,284
14255,31027,124,16,66,2,597
7432,58839,65,4,65,2,18
6104,84822,76,5,13,5,219
5301,20269,66,14,79,3,475
